,time,summary,title,trend
310,2019-12-18,"['...since', '2009', 'in', 'industries', 'from', 'banking', 'and', 'finance', 'to', 'motor', 'vehicles', 'and', 'real', 'estate,', 'according', 'to', 'Dealogic', 'data.', 'It...']","['Liu', 'Chuanzhi', 'to', 'step', 'down', 'as', 'chairman', 'of', 'China’s', 'Legend', 'Holdings']",DOWN
311,2019-12-18,"['...of', 'a', 'possible', '“chain', 'reaction”', 'of', 'defaults', 'among', 'the', 'country’s', 'thousands', 'of', 'local', 'government', 'financing', 'vehicles', 'after', 'one...']","['FirstFT:', 'Today’s', 'top', 'stories']",DOWN
312,2019-12-18,"['...the', 'need', 'for', 'hefty', 'investments', 'in', 'the', 'next', 'few', 'years', 'due', 'to', 'the', 'rise', 'of', 'electric', 'and', 'self-driving', 'vehicles', 'just...']","['Volvo', 'sells', 'struggling', 'Japan', 'unit', 'UD', 'Trucks', 'to', 'Isuzu', 'Motors']",DOWN
313,2019-12-18,"['...thousands', 'of', 'local', 'government', 'financing', 'vehicles', 'after', 'one', 'of', 'these', 'entities', 'nearly', 'missed', 'a', 'payment', 'this...']","['China', 'warned', 'of', 'local', 'debt', 'vehicle', 'default', 'risk']",DOWN
314,2019-12-18,"['...issuers', 'ranging', 'from', 'private', 'factories', 'to', 'government', 'investment', 'vehicles,', 'hurt', 'by', 'a', 'slowing', 'economy,', 'run', 'into...']","['China', 'vulture', 'funds', 'feast', 'as', 'corporate', 'defaults', 'rise']",DOWN
315,2019-12-18,"['...expenditure', 'required', 'for', 'the', 'development', 'of', 'electric', 'vehicles', 'and', 'self-driving', 'systems.', 'New', 'York', 'Life', 'Insurance...']","['Opening', 'Quote:', 'Overhauling', 'audits:', 'Brydon', 'review', 'proposes', 'sweeping', 'changes']",DOWN
316,2019-12-18,"['...switching', 'to', 'heavier', 'sports', 'utility', 'vehicles.', 'The', 'result', 'is', 'that,', 'since', '2017,', 'CO2', 'emissions', 'from', 'cars', 'have', 'been', 'rising...']","['Can', 'European', 'carmakers', 'accelerate', 'electric', 'transition?']",DOWN
317,2019-12-18,"['...and', 'insufficient', 'customer', 'interest,', 'as', 'the', 'companies’', 'chief', 'executives', 'refocus', 'on', 'selling', 'premium', 'vehicles.', 'The', 'German...']","['BMW,', 'Daimler', 'reverse', 'out', 'of', 'car-sharing', 'venture']",DOWN
318,2019-12-18,"['....', 'German', 'and', 'Russian', 'officials', 'reacted', 'with', 'anger.', '“European', 'energy', 'policy', 'is', 'decided', 'in', 'Europe,', 'not', 'the', 'US,”...']","['Angela', 'Merkel', 'hits', 'out', 'at', 'US', 'sanctions', 'on', 'Nord', 'Stream', '2', 'pipeline']",DOWN
319,2019-12-18,"['German', 'business', 'confidence', 'rose', 'to', 'a', 'six-month', 'high', 'in', 'December,', 'according', 'to', 'a', 'closely', 'watched', 'survey', 'of', 'executives...']","['German', 'business', 'confidence', 'rises', 'at', 'end', 'of', 'rocky', 'year']",DOWN
320,2019-12-18,"['...Penguin', 'Random', 'House', 'to', 'its', 'joint', 'venture', 'partner', 'Bertelsmann,', 'the', 'German', 'media', 'group.', 'But', 'just', 'as', 'defining', 'for', 'Mr...']","['Pearson', 'chief', 'John', 'Fallon', 'to', 'retire', 'next', 'year']",DOWN
321,2019-12-18,"['...', 'internecine', 'feud', 'that', 'marred', 'the', 'end', 'of', 'Mario', 'Draghi’s', 'time', 'as', 'its', 'president.', 'In', 'September', 'the', 'heads', 'of', 'the...']","['ECB', 'urged', 'to', 'end', 'secrecy', 'over', 'policy', 'votes']",DOWN
322,2019-12-18,"['...central', 'areas.', 'Several', 'German', 'cities', 'including', 'Hamburg,', 'Berlin', 'and', 'Stuttgart—', 'the', 'home', 'of', 'Porsche', 'and', 'Mercedes...']","['Can', 'European', 'carmakers', 'accelerate', 'electric', 'transition?']",DOWN
323,2019-12-18,"['...merger', '—', 'perhaps', 'because', 'the', 'two', 'companies', 'are', 'not', 'French', 'and', 'German.', 'The', 'EU', 'has', 'already', 'funnelled', 'about', '€700m', 'to', '5G', 'R&D...']","['EU', 'needs', 'common', 'telecoms', 'rules', 'to', 'thwart', 'Huawei’s', '5G', 'threat']",DOWN
324,2019-12-18,"['...not', 'starved', 'of', 'choice', 'for', 'food', 'and', 'drink', '—', 'it’s', 'full', 'of', 'stylish', 'places', 'to', 'grab', 'a', 'good', 'cup', 'of', 'coffee', 'or', 'a', 'tasty', 'meal', 'with', 'a...']","['Frankfurt’s', 'top', 'spots', 'for', 'business', 'dining']",DOWN
